,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy,Industry_embedding,Company Location_embedding,Profile Headline_embedding,Profile Summary_embedding,School_embedding,Degree_embedding,Education End_embedding,Domain_embedding,CompanyName_embedding,JobTitle_embedding,My Network_embedding,Country_embedding,Continent_embedding,FieldOfStudy_embedding
0,Mechanical or Industrial Engineering,"Dublin, Ohio, United States",False,2020.0,"Mechanical Design Engineer, System Integration Engineer (CAD, CAE, xEV Battery Design, V-cycle Product Development, Rapid Prototyping, Manufacturing) ","In the ever-growing technological world where a person with a holistic approach towards product development is desired, I believe I am that person who can and will bring the multi-domain skill set to achieve organizational and team goals. 

I am passionate about product development with fast-paced learning and never-ending inquisitiveness. Loves problem-solving, and team-work to foster growth.
 
With working experience in multiple OEM's and with active presence in young leadership roles at Goken America LLC, CU-ICAR, and VIT Vellore, I am proficient in:

1. Systems way of product engineering: 
V-model of product development starting from researching & understanding customer requirements and working all the way to develop a product which aligns with the customer’s needs

2. Product development (CAD/CAE):
Sheet metal & surface design, interiors plastics design, part, assembly, and drafting; using CATIA, SolidWorks, AutoCAD; CAE using HyperWorks - HyperMesh, OptiStruct, Abaqus non-linear; Ansys, basic Heat transfer Analysis, basic flow analysis using GT-Suite & Star-CCM+, Design for Manufacturing/Assembly, PDCA, DMAIC

3. Powertrain systems:
Components sizing, power flow simulations, powertrain controls strategy tuning (conventional, hybrids, EVs) using Matlab Simulink  

4. Lightweight Materials:
Steel, Al, Mg; Composites and Plastics

5.	Hands-on:
Prototyping and validation (hand tools, power tools, machining equipment)

6.	Automotive Testing:
BIW static & dynamic mode testing, modal NVH & vehicle testing, lab equipment (vehicle instrumentation, sensor calibration, troubleshooting, data acquisition, and data analysis; Somat TCE eDAQ, X-modal, MATLAB, Excel)

7. Working experience in fast-paced high volume manufacturing environment including application of Six Sigma tools for continuous improvement (root cause analysis, poka yoke development)

8. Exploring design automation through programming and applied data science & machine learning algorithms to business intelligence, product development & management.
",Chalmers University of Technology,pg,group2,Arts and Design,Rivian,Designer,network,United States,NA,"Electrical, Electronics and Communication Engineering",0.5515584,-1.2655405,0.5681445,-0.35958427,0.56981564,-0.61622804,-0.5348988,0.19595388,0.38868728,0.1428807,-0.34562543,0.21777464,0.20820904,0.66143984
1,Information Technology and Services,New York City Metropolitan Area,False,2018.0,Digital DevOps Engineer at HSBC,AWS Certified Cloud Engineer holding 3 AWS Associate and DevOps Engineer Professional Level  Certificates.,Binghamton University,pg,group2,Arts and Design,HSBC,developer,network,United States,NA,Computer Science,-0.24523748,0.3861558,0.43293107,-0.6480649,0.2594841,-0.61622804,-0.5348988,0.19595388,0.2973232,0.092446804,-0.34562543,0.21777464,0.20820904,-0.5947676
2,Information Technology and Services,"Chicago, Illinois, United States",False,2018.0,"Leading Product + UX at Remedy (Two Point Conversions, Inc.)",http://aroonmathai.com,Carnegie Mellon University,pg,group2,Arts and Design,"Two Point Conversions, Inc.",Designer,network,United States,NA,Computer Science,-0.24523748,0.06496668,-0.2027041,0.33404374,-0.36710516,-0.61622804,-0.5348988,0.19595388,-0.1907011,0.14288117,-0.34562543,0.21777464,0.20820904,-0.5947676
3,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2018.0,Product Designer at udaan,,Vellore Institute of Technology,ug,group2,Arts and Design,udaan.com,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.2557315,0.0068888944,0.7513437,-0.12845042,-0.5348988,0.19595388,0.14344127,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
4,Information Technology and Services,"Jaipur, Rajasthan, India",True,2021.0,Digital Technology Intern at General Electric Gas Power,,Vellore Institute of Technology,ug,group1,Arts and Design,GE,Intern,network,India,AS,Computer Science,-0.24523748,0.6265376,0.36094087,0.0068888944,0.7513437,-0.12845042,-0.5150479,0.19595388,-0.2859933,-0.30808622,-0.34562543,-0.15667738,-0.22795308,-0.5947676
5,Information Technology and Services,"Pune, Maharashtra, India",True,2021.0,Product Designer at Recurr | Co-Founder at Sleefax | UI/UX Designing and Frontend Development,"I have always been a creator of sorts since childhood. Been a novel writer, script writer and short film maker among other pursuits. Have experience in Frontend Web Development and UI/UX Designing.

Been passionate about technology since 10. Avid reader, business enthusiast. Stands at the intersection of technology, art and humanities. A constant learner and passionate technologist who believes: “Those who are crazy enough to think they can change the world usually do”

Specialties: Product Design, Web Development, Product Management, Corporate Development, Business Operations, Product Strategy & Marketing.",Maharashtra Institute of Technology,ug,group1,Arts and Design,Recurr,Designer,network,India,AS,"Electrical, Electronics and Communication Engineering",-0.24523748,0.20149222,-0.05159559,-0.122783914,0.4165763,-0.12845042,-0.5150479,0.19595388,0.012700016,0.14288117,-0.34562543,-0.15667738,-0.22795308,0.66143984
6,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,"Product Designer at Flipkart | Prev. @Dunzo | Figma Community Advocate, Bengaluru","Designing for users @Flipkart. 
Prev at Dunzo
Winner of Zomato UX Teardown 🏆",Vellore Institute of Technology,ug,group2,Arts and Design,Flipkart,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.555391,-0.27243918,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.30848655,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
7,Consumer Goods,"Copenhagen, Capital Region, Denmark",False,2020.0,E-commerce I Order fulfillment I BI & Analytics,"Business Architecture and digital software engineering with success in delivering complex solutions over years in Order Managment, ecommerce, BI and analytics solution within GCP & Microsoft Azure

•	Workshops with clients to map the business requirements appropriately with product capabilities.
•	Create scalable model to leverage the optimal out-of-the-box product usage.
•	POCs and Product demo’s to the client on areas covering Retail and supply Chain management
•	Demonstrate product capability to suit business requirement by showing product demo’s to customer.",Vellore Institute of Technology,ug,group3,Arts and Design,Pandora,Solution Expert,network,Denmark,EU,bioinformatics,0.39451176,0.14487307,-0.14305489,-0.46513173,0.7513437,-0.12845042,-0.799207,0.19595388,0.004644478,-0.74793065,-0.34562543,-0.24536699,-0.20890951,0.28560075
8,Consumer Services,"Tamil Nadu, India",False,2020.0,Autocad Designer (Freelance),"A civil undergraduate who is eager to learn and perform better with every opportunity . Loves making AutoCad plans of buildings and doing surveys of land. Dedicated , passionate and devoted towards work . Believes in hard-work , discipline and punctuality . Interested in Design and drafting. Looking forward to work in a civil firm and get more experience.",Vellore Institute of Technology,ug,group1,Arts and Design,Freelance,Designer,network,India,AS,Civil Engineering,0.38967007,0.56172913,0.48898253,-0.034839798,0.7513437,-0.12845042,-0.5150479,0.19595388,0.29647255,0.14288117,-0.34562543,-0.15667738,-0.22795308,0.51126933
9,Mechanical or Industrial Engineering,"Bangalore Urban, Karnataka, India",False,2020.0,Automotive Engineer ,"Looking for opportunities to learn more.
Also looking for Summer Internships 2020","Vellore Institute of Technology, Vellore",ug,group1,Arts and Design,DBQC-The Quiz Club of VIT,Designer,network,India,AS,Mechanical Engineering,0.5515584,0.41186544,0.4886273,-0.040479463,0.7866861,-0.12845042,-0.5150479,0.19595388,0.1117532,0.14288117,-0.34562543,-0.15667738,-0.22795308,0.5310456
