,Job Title,Company Name,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Field of Study,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy
0,Battery Designer,Rivian,Mechanical or Industrial Engineering,"Dublin, Ohio, United States",False,2020.0,"Mechanical Design Engineer, System Integration Engineer (CAD, CAE, xEV Battery Design, V-cycle Product Development, Rapid Prototyping, Manufacturing) ","In the ever-growing technological world where a person with a holistic approach towards product development is desired, I believe I am that person who can and will bring the multi-domain skill set to achieve organizational and team goals. 

I am passionate about product development with fast-paced learning and never-ending inquisitiveness. Loves problem-solving, and team-work to foster growth.
 
With working experience in multiple OEM's and with active presence in young leadership roles at Goken America LLC, CU-ICAR, and VIT Vellore, I am proficient in:

1. Systems way of product engineering: 
V-model of product development starting from researching & understanding customer requirements and working all the way to develop a product which aligns with the customer’s needs

2. Product development (CAD/CAE):
Sheet metal & surface design, interiors plastics design, part, assembly, and drafting; using CATIA, SolidWorks, AutoCAD; CAE using HyperWorks - HyperMesh, OptiStruct, Abaqus non-linear; Ansys, basic Heat transfer Analysis, basic flow analysis using GT-Suite & Star-CCM+, Design for Manufacturing/Assembly, PDCA, DMAIC

3. Powertrain systems:
Components sizing, power flow simulations, powertrain controls strategy tuning (conventional, hybrids, EVs) using Matlab Simulink  

4. Lightweight Materials:
Steel, Al, Mg; Composites and Plastics

5.	Hands-on:
Prototyping and validation (hand tools, power tools, machining equipment)

6.	Automotive Testing:
BIW static & dynamic mode testing, modal NVH & vehicle testing, lab equipment (vehicle instrumentation, sensor calibration, troubleshooting, data acquisition, and data analysis; Somat TCE eDAQ, X-modal, MATLAB, Excel)

7. Working experience in fast-paced high volume manufacturing environment including application of Six Sigma tools for continuous improvement (root cause analysis, poka yoke development)

8. Exploring design automation through programming and applied data science & machine learning algorithms to business intelligence, product development & management.
",Chalmers University of Technology,pg,group2,"(Conventional, Hybrid and Electric Vehicles)",Arts and Design,Rivian,Designer,network,United States,NA,"Electrical, Electronics and Communication Engineering"
1,Digital DevOps Engineer,HSBC,Information Technology and Services,New York City Metropolitan Area,False,2018.0,Digital DevOps Engineer at HSBC,AWS Certified Cloud Engineer holding 3 AWS Associate and DevOps Engineer Professional Level  Certificates.,Binghamton University,pg,group2,Computer Science,Arts and Design,HSBC,developer,network,United States,NA,Computer Science
2,Product Designer,"Two Point Conversions, Inc.",Information Technology and Services,"Chicago, Illinois, United States",False,2018.0,"Leading Product + UX at Remedy (Two Point Conversions, Inc.)",http://aroonmathai.com,Carnegie Mellon University,pg,group2,Human Computer Interaction,Arts and Design,"Two Point Conversions, Inc.",Designer,network,United States,NA,Computer Science
3,Product Designer,udaan.com,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2018.0,Product Designer at udaan,,Vellore Institute of Technology,ug,group2,Information Technology,Arts and Design,udaan.com,Designer,network,India,AS,Computer Science
4,Digital Technology Intern,GE,Information Technology and Services,"Jaipur, Rajasthan, India",True,2021.0,Digital Technology Intern at General Electric Gas Power,,Vellore Institute of Technology,ug,group1,Information Technology,Arts and Design,GE,Intern,network,India,AS,Computer Science
5,Product Designer,Recurr,Information Technology and Services,"Pune, Maharashtra, India",True,2021.0,Product Designer at Recurr | Co-Founder at Sleefax | UI/UX Designing and Frontend Development,"I have always been a creator of sorts since childhood. Been a novel writer, script writer and short film maker among other pursuits. Have experience in Frontend Web Development and UI/UX Designing.

Been passionate about technology since 10. Avid reader, business enthusiast. Stands at the intersection of technology, art and humanities. A constant learner and passionate technologist who believes: “Those who are crazy enough to think they can change the world usually do”

Specialties: Product Design, Web Development, Product Management, Corporate Development, Business Operations, Product Strategy & Marketing.",Maharashtra Institute of Technology,ug,group1,"Electrical, Electronics and Communications Engineering",Arts and Design,Recurr,Designer,network,India,AS,"Electrical, Electronics and Communication Engineering"
6,Product Designer - 1,Flipkart,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,"Product Designer at Flipkart | Prev. @Dunzo | Figma Community Advocate, Bengaluru","Designing for users @Flipkart. 
Prev at Dunzo
Winner of Zomato UX Teardown 🏆",Vellore Institute of Technology,ug,group2,Computer Science and information security,Arts and Design,Flipkart,Designer,network,India,AS,Computer Science
7,Digital Solutions ,Pandora,Consumer Goods,"Copenhagen, Capital Region, Denmark",False,2020.0,E-commerce I Order fulfillment I BI & Analytics,"Business Architecture and digital software engineering with success in delivering complex solutions over years in Order Managment, ecommerce, BI and analytics solution within GCP & Microsoft Azure

•	Workshops with clients to map the business requirements appropriately with product capabilities.
•	Create scalable model to leverage the optimal out-of-the-box product usage.
•	POCs and Product demo’s to the client on areas covering Retail and supply Chain management
•	Demonstrate product capability to suit business requirement by showing product demo’s to customer.",Vellore Institute of Technology,ug,group3,Bioinformatics,Arts and Design,Pandora,Solution Expert,network,Denmark,EU,bioinformatics
8,Autocad Designer,Freelance,Consumer Services,"Tamil Nadu, India",False,2020.0,Autocad Designer (Freelance),"A civil undergraduate who is eager to learn and perform better with every opportunity . Loves making AutoCad plans of buildings and doing surveys of land. Dedicated , passionate and devoted towards work . Believes in hard-work , discipline and punctuality . Interested in Design and drafting. Looking forward to work in a civil firm and get more experience.",Vellore Institute of Technology,ug,group1,Civil Engineering,Arts and Design,Freelance,Designer,network,India,AS,Civil Engineering
9,Designer,DBQC-The Quiz Club of VIT,Mechanical or Industrial Engineering,"Bangalore Urban, Karnataka, India",False,2020.0,Automotive Engineer ,"Looking for opportunities to learn more.
Also looking for Summer Internships 2020","Vellore Institute of Technology, Vellore",ug,group1,Automotive Engineering Technology/Technician,Arts and Design,DBQC-The Quiz Club of VIT,Designer,network,India,AS,Mechanical Engineering
10,Head of Design,Computer Society of India - VIT Student Chapter,Information Technology and Services,"Delhi, India",False,2020.0,Head of Design at Computer Society of India | Computer Science at Vellore Institute of Technology,,Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,Computer Society of India - VIT Student Chapter,Team Leader,network,India,AS,Computer Science
11,Designer in Residence,10kdesigners,Consumer Goods,"Bangalore Urban, Karnataka, India",True,2021.0,Ui/UX designer | Designer in residence @10kdesigners,"I am a curious person who love to learn new and exciting things and try to apply and change. I love challenges and try to find out a way amidst of dire situations. 
I am currently working as a UI/UX designer in Licious. Skilled in designing UI systems in react js as well as designing apps in figma.",VIT UNIVERSITY,pg,group2,COMPUTER APPLICATIONS,Arts and Design,10kdesigners,Designer,network,India,AS,Computer Science
12,Flutter App Developer,HelpNow,Hospital & Health Care,"Vellore, Tamil Nadu, India",True,2021.0,Flutter App Developer at HelpNow,"Designer | Programmer 

Winner of Best UI/UX in Parallax 2020 hosted by TEC VIT

Winner of Best Design in Women Techies 2020 hosted by DSC VIT

Always learning.",Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,HelpNow,Developer,network,India,AS,Computer Science
13,Product Designer,Zuddl,Design,"Delhi, India",False,2020.0,"Platform Design & Marketing at Zuddl / Host of ""Take it Easy"" Podcast / anshmehra.com",Currently learning UX Design and Marketing - plan to achieve both internal and external success.,Vellore Institute of Technology,ug,group2,Computer Science,Arts and Design,Zuddl,Designer,network,India,AS,Computer Science
14,Product Designer,DelightChat,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,Product Designer at DelightChat,"I have a deep interest in building and designing products and bringing technological innovations that bring a change in people's lives. I aspire to Design products that make a difference in someone's life 😀

Reach me at shrutichaturvedi98@gmail.com if you think we can work on something cool together.  ",Vellore Institute of Technology,ug,group2,Production and Industrial,Arts and Design,DelightChat,Designer,network,India,AS,Manufacturing and Production
15,Engineer - ASIC Design,SiFive,Consumer Goods,"Chengalpattu, Tamil Nadu, India",False,2020.0,Engineer - ASIC Design at SiFive,,VIT University (Chennai Campus),not_given,group2,electronics and communication engineering,Arts and Design,SiFive,Engineer,network,India,AS,"Electrical, Electronics and Communication Engineering"
16,Product Designer,Reverie Language Technologies,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Design and Product at Reverie Language Technologies | HFI Certified Usability Analyst (CUA)™,"A versatile designer, passionate about bridging the gap between user experience and business objectives with design. Has experience of working in the Information technology and services industry. Skilled in User Research, Wireframing, Typography, Information architecture, Prototyping, Visual Design & Usability Testing.

A HFI Certified Usability Analyst.

Also a Film making and Photography enthusiast.",Vellore Institute of Technology,ug,group2,Computer Science with Specialization in Bioinformatics,Arts and Design,Reverie Language Technologies,Designer,network,India,AS,Computer Science
17,Visual Designer,Zoho Corporation,Information Technology and Services,"Chennai, Tamil Nadu, India",True,2021.0,Visual Designer at Zoho,"
To work on design projects with an urge to understand project significance learn design methods. To learn conceptualisation of ideas and form exploration for products, interfaces and digital media. To channelize my passion for art and design to strike a balance between form and functionality. ",Vellore Institute of Technology,pg,group2,Software Engineering(Integrated),Arts and Design,Zoho Corporation,Designer,network,India,AS,Computer Science
18,Digital Specialist,McKinsey & Company,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Digital Specialist @ McKinsey & Company | Ex-Microsoft Intern | SRE | AWS Cloud | Azure | Terraform | DevOps,"A passionate problem solver, initiative taker with strong logical and analytical skills, with the ability to work individually as well as in a team. An enthusiast to learn new ideas. 

My interests lie in DevSecOps, Cloud Engineering, System Design, Software Engineering, Algorithmic Problem Solving, SDLC and Agile. 

Have experience in building scalable applications from scratch using modern DevOps tool kit and Javascript technologies like React.js, Node.js and React Native.

Primarily focusing on gaining exposure to technologies and organisational processes to run technology businesses.",Vellore Institute of Technology,ug,group2,Computer Science and Engineering,Arts and Design,McKinsey & Company,Specialist,network,India,AS,Computer Science
19,Web Developer,Buyhatke,Information Technology and Services,"Tamil Nadu, India",False,2020.0,Web Developer at Buyhatke,VIT vellore,Vellore Institute of Technology,ug,group2,Computer Science,Arts and Design,Buyhatke,Developer,network,India,AS,Computer Science
